,cash,dates
825,16470.298086382638,2017-02-23
826,16470.298086382638,2017-02-24
827,16470.298086382638,2017-02-27
828,16470.298086382638,2017-02-28
829,16470.298086382638,2017-03-01
830,16470.298086382638,2017-03-02
831,16470.298086382638,2017-03-03
832,14978.445891876074,2017-03-06
833,14978.445891876074,2017-03-07
834,16482.370168362082,2017-03-08
835,16482.370168362082,2017-03-08
836,16482.370168362082,2017-03-09
837,16482.370168362082,2017-03-10
838,16482.370168362082,2017-03-13
839,16482.370168362082,2017-03-14
840,16482.370168362082,2017-03-15
841,16482.370168362082,2017-03-16
842,16482.370168362082,2017-03-17
843,16482.370168362082,2017-03-20
