,cash,dates
1682,664324.6975821933,2019-11-15
1683,666212.8047795225,2019-11-18
1684,666212.8047795225,2019-11-18
1685,666212.8047795225,2019-11-19
1686,666212.8047795225,2019-11-20
1687,666212.8047795225,2019-11-21
1688,666212.8047795225,2019-11-22
1689,666212.8047795225,2019-11-25
1690,666212.8047795225,2019-11-26
1691,666212.8047795225,2019-11-27
1692,666212.8047795225,2019-11-29
1693,666212.8047795225,2019-12-02
1694,666212.8047795225,2019-12-03
1695,666212.8047795225,2019-12-04
1696,666212.8047795225,2019-12-05
1697,666212.8047795225,2019-12-06
1698,664264.59447309,2019-12-09
1699,666173.5789719593,2019-12-10
1700,666173.5789719593,2019-12-10
1701,666173.5789719593,2019-12-11
1702,664189.9348033178,2019-12-12
1703,666046.1516798608,2019-12-13
1704,666046.1516798608,2019-12-13
1705,666046.1516798608,2019-12-16
1706,664116.3767984547,2019-12-17
1707,666066.3564148922,2019-12-18
1708,666066.3564148922,2019-12-18
1709,664114.5189182353,2019-12-19
1710,664114.5189182353,2019-12-20
1711,679831.5676682353,2019-12-23
1712,679831.5676682353,2019-12-23
1713,679831.5676682353,2019-12-24
1714,679831.5676682353,2019-12-26
1715,679831.5676682353,2019-12-27
1716,679831.5676682353,2019-12-30
1717,679831.5676682353,2019-12-31
1718,679831.5676682353,2020-01-02
1719,679831.5676682353,2020-01-03
1720,677010.0855562083,2020-01-06
1721,679871.9109154956,2020-01-07
1722,679871.9109154956,2020-01-07
1723,679871.9109154956,2020-01-08
1724,677891.775707224,2020-01-09
1725,677772.8673726668,2020-01-10
1726,677923.4197597671,2020-01-13
1727,677923.4197597671,2020-01-14
1728,677923.4197597671,2020-01-15
1729,677923.4197597671,2020-01-16
1730,676896.1117943971,2020-01-17
1731,677854.1524058457,2020-01-21
1732,677854.1524058457,2020-01-22
1733,679739.4634125234,2020-01-23
1734,679739.4634125234,2020-01-23
1735,677420.4256744153,2020-01-24
1736,677420.4256744153,2020-01-27
1737,680398.442406651,2020-01-28
1738,680398.442406651,2020-01-28
1739,678112.6831571815,2020-01-29
1740,678112.6831571815,2020-01-30
1741,678112.6831571815,2020-01-31
1742,678112.6831571815,2020-02-03
1743,694188.4344071815,2020-02-04
1744,694188.4344071815,2020-02-04
1745,694188.4344071815,2020-02-05
1746,694188.4344071815,2020-02-06
1747,694188.4344071815,2020-02-07
1748,694188.4344071815,2020-02-10
1749,694188.4344071815,2020-02-11
1750,694188.4344071815,2020-02-12
1751,694188.4344071815,2020-02-13
1752,694188.4344071815,2020-02-14
1753,694188.4344071815,2020-02-18
1754,694188.4344071815,2020-02-19
1755,691736.7948101083,2020-02-20
1756,692476.5379124163,2020-02-21
1757,695086.8557616591,2020-02-24
1758,695086.8557616591,2020-02-24
1759,695086.8557616591,2020-02-25
1760,695086.8557616591,2020-02-26
1761,695086.8557616591,2020-02-27
1762,695086.8557616591,2020-02-28
1763,695086.8557616591,2020-03-02
1764,695086.8557616591,2020-03-03
1765,695086.8557616591,2020-03-04
1766,695086.8557616591,2020-03-05
1767,695086.8557616591,2020-03-06
1768,695086.8557616591,2020-03-09
1769,695086.8557616591,2020-03-10
1770,695086.8557616591,2020-03-11
1771,695086.8557616591,2020-03-12
1772,692739.7636026613,2020-03-13
1773,692739.7636026613,2020-03-16
1774,692739.7636026613,2020-03-17
1775,697470.1031187268,2020-03-18
1776,697470.1031187268,2020-03-18
1777,697470.1031187268,2020-03-19
1778,697470.1031187268,2020-03-20
1779,697470.1031187268,2020-03-23
1780,697470.1031187268,2020-03-24
1781,697470.1031187268,2020-03-25
1782,697470.1031187268,2020-03-26
1783,697470.1031187268,2020-03-27
1784,697470.1031187268,2020-03-30
1785,697470.1031187268,2020-03-31
1786,697470.1031187268,2020-04-01
1787,697470.1031187268,2020-04-02
1788,697470.1031187268,2020-04-03
1789,697470.1031187268,2020-04-06
1790,697470.1031187268,2020-04-07
1791,697470.1031187268,2020-04-08
1792,697470.1031187268,2020-04-09
1793,697470.1031187268,2020-04-13
1794,697470.1031187268,2020-04-14
1795,697470.1031187268,2020-04-15
1796,697470.1031187268,2020-04-16
1797,697470.1031187268,2020-04-17
1798,697470.1031187268,2020-04-20
1799,697470.1031187268,2020-04-21
1800,697470.1031187268,2020-04-22
1801,697470.1031187268,2020-04-23
1802,697470.1031187268,2020-04-24
1803,697470.1031187268,2020-04-27
1804,697470.1031187268,2020-04-28
1805,693959.7989891247,2020-04-29
1806,697822.8808458187,2020-04-30
1807,697822.8808458187,2020-04-30
1808,697822.8808458187,2020-05-01
1809,697822.8808458187,2020-05-04
1810,697822.8808458187,2020-05-05
1811,697822.8808458187,2020-05-06
1812,694477.9172317288,2020-05-07
1813,695282.9040565126,2020-05-08
1814,697662.263951877,2020-05-11
1815,697662.263951877,2020-05-11
1816,697662.263951877,2020-05-12
1817,694190.7760656171,2020-05-13
1818,694190.7760656171,2020-05-14
1819,694190.7760656171,2020-05-15
1820,694190.7760656171,2020-05-18
1821,695842.5290362658,2020-05-19
1822,697931.3432034726,2020-05-20
1823,697931.3432034726,2020-05-20
1824,697931.3432034726,2020-05-21
1825,697931.3432034726,2020-05-22
1826,697931.3432034726,2020-05-26
1827,697931.3432034726,2020-05-27
1828,697931.3432034726,2020-05-28
1829,697931.3432034726,2020-05-29
1830,697931.3432034726,2020-06-01
1831,694303.8930701914,2020-06-02
1832,694303.8930701914,2020-06-03
1833,698428.9774589348,2020-06-04
1834,698428.9774589348,2020-06-04
1835,698428.9774589348,2020-06-05
1836,696455.880271078,2020-06-08
1837,699207.7396593824,2020-06-09
1838,699207.7396593824,2020-06-09
1839,699207.7396593824,2020-06-10
1840,699207.7396593824,2020-06-11
1841,699207.7396593824,2020-06-12
1842,699207.7396593824,2020-06-15
1843,699207.7396593824,2020-06-16
1844,695143.5295167342,2020-06-17
1845,699625.9272345897,2020-06-18
1846,699625.9272345897,2020-06-18
1847,695691.8462522391,2020-06-19
1848,699532.2015095389,2020-06-22
1849,699532.2015095389,2020-06-22
1850,699532.2015095389,2020-06-23
1851,699532.2015095389,2020-06-24
1852,699532.2015095389,2020-06-25
1853,699532.2015095389,2020-06-26
1854,699532.2015095389,2020-06-29
1855,699532.2015095389,2020-06-30
1856,696086.2883802754,2020-07-01
1857,697485.3965406427,2020-07-02
1858,697485.3965406427,2020-07-06
1859,699882.7613536528,2020-07-07
1860,699882.7613536528,2020-07-07
1861,697468.5781407581,2020-07-08
1862,699902.9293341737,2020-07-09
1863,699902.9293341737,2020-07-09
1864,697421.9126776267,2020-07-10
1865,700204.8810084105,2020-07-13
1866,700204.8810084105,2020-07-13
1867,697872.2342446416,2020-07-14
1868,697872.2342446416,2020-07-15
1869,700083.9740584348,2020-07-16
1870,700083.9740584348,2020-07-16
1871,697465.2938227024,2020-07-17
1872,700087.0895314276,2020-07-20
1873,700087.0895314276,2020-07-20
1874,697483.6038127701,2020-07-21
1875,700086.2187215929,2020-07-22
1876,700086.2187215929,2020-07-22
1877,700086.2187215929,2020-07-23
1878,700086.2187215929,2020-07-24
1879,700086.2187215929,2020-07-27
1880,700086.2187215929,2020-07-28
1881,700086.2187215929,2020-07-29
1882,700086.2187215929,2020-07-30
1883,700086.2187215929,2020-07-31
1884,700086.2187215929,2020-08-03
1885,696776.2786723309,2020-08-04
1886,700279.7737715025,2020-08-05
1887,700279.7737715025,2020-08-05
1888,700279.7737715025,2020-08-06
1889,700279.7737715025,2020-08-07
1890,697968.9719138128,2020-08-10
1891,700300.8423017467,2020-08-11
1892,700300.8423017467,2020-08-11
1893,698040.7567413397,2020-08-12
1894,700427.4702760397,2020-08-13
1895,700427.4702760397,2020-08-13
1896,700427.4702760397,2020-08-14
1897,698186.0696337966,2020-08-17
1898,698186.0696337966,2020-08-18
1899,700568.7445516104,2020-08-19
1900,700568.7445516104,2020-08-19
1901,697583.9036998656,2020-08-20
1902,700667.5175841385,2020-08-21
1903,700667.5175841385,2020-08-21
1904,700667.5175841385,2020-08-24
1905,700667.5175841385,2020-08-25
1906,700667.5175841385,2020-08-26
1907,700667.5175841385,2020-08-27
1908,700667.5175841385,2020-08-28
1909,700667.5175841385,2020-08-31
1910,700667.5175841385,2020-09-01
1911,700667.5175841385,2020-09-02
1912,700667.5175841385,2020-09-03
1913,700667.5175841385,2020-09-04
1914,698287.693997047,2020-09-08
1915,700976.0833330465,2020-09-09
1916,700976.0833330465,2020-09-09
1917,700976.0833330465,2020-09-10
1918,698770.3855957276,2020-09-11
1919,701250.2507259079,2020-09-14
1920,701250.2507259079,2020-09-14
1921,701250.2507259079,2020-09-15
1922,701250.2507259079,2020-09-16
1923,701250.2507259079,2020-09-17
1924,701250.2507259079,2020-09-18
1925,701250.2507259079,2020-09-21
1926,701250.2507259079,2020-09-22
1927,701250.2507259079,2020-09-23
1928,701250.2507259079,2020-09-24
1929,701250.2507259079,2020-09-25
1930,701250.2507259079,2020-09-28
1931,701250.2507259079,2020-09-29
1932,701250.2507259079,2020-09-30
1933,701250.2507259079,2020-10-01
1934,701250.2507259079,2020-10-02
1935,701250.2507259079,2020-10-05
1936,701250.2507259079,2020-10-06
1937,697903.9144954238,2020-10-07
1938,701794.1106378316,2020-10-08
1939,701794.1106378316,2020-10-08
1940,701794.1106378316,2020-10-09
1941,701794.1106378316,2020-10-12
1942,701794.1106378316,2020-10-13
1943,701794.1106378316,2020-10-14
1944,698973.7791790324,2020-10-15
1945,698618.822267742,2020-10-16
1946,701248.0891627183,2020-10-19
1947,701248.0891627183,2020-10-19
1948,698409.5916450545,2020-10-20
1949,698560.7475566032,2020-10-21
1950,701273.2925338899,2020-10-22
1951,701273.2925338899,2020-10-22
1952,701273.2925338899,2020-10-23
1953,701273.2925338899,2020-10-26
1954,701273.2925338899,2020-10-27
1955,701273.2925338899,2020-10-28
1956,701273.2925338899,2020-10-29
1957,701273.2925338899,2020-10-30
1958,701273.2925338899,2020-11-02
1959,701273.2925338899,2020-11-03
1960,701273.2925338899,2020-11-04
1961,701273.2925338899,2020-11-05
1962,701273.2925338899,2020-11-06
1963,701273.2925338899,2020-11-09
1964,698577.9803471735,2020-11-10
1965,701456.5140663502,2020-11-11
1966,701456.5140663502,2020-11-11
1967,698563.7287854762,2020-11-12
1968,701351.6368233167,2020-11-13
1969,701351.6368233167,2020-11-13
1970,701351.6368233167,2020-11-16
1971,701351.6368233167,2020-11-17
1972,698453.9709263344,2020-11-18
1973,701441.4307673442,2020-11-19
1974,701441.4307673442,2020-11-19
1975,701441.4307673442,2020-11-20
1976,701441.4307673442,2020-11-23
1977,701441.4307673442,2020-11-24
1978,701441.4307673442,2020-11-25
1979,701441.4307673442,2020-11-27
1980,701441.4307673442,2020-11-30
1981,701441.4307673442,2020-12-01
1982,701441.4307673442,2020-12-02
1983,701441.4307673442,2020-12-03
1984,701441.4307673442,2020-12-04
1985,701441.4307673442,2020-12-07
1986,701441.4307673442,2020-12-08
1987,701441.4307673442,2020-12-09
1988,701441.4307673442,2020-12-10
1989,701441.4307673442,2020-12-11
1990,701441.4307673442,2020-12-14
1991,701441.4307673442,2020-12-15
1992,698584.442002551,2020-12-16
1993,697243.5574741623,2020-12-17
1994,698400.7333657601,2020-12-18
1995,701331.9171733343,2020-12-21
1996,701331.9171733343,2020-12-21
1997,698570.2100601486,2020-12-22
1998,701253.6893499196,2020-12-23
1999,701253.6893499196,2020-12-23
2000,701253.6893499196,2020-12-24
2001,701253.6893499196,2020-12-28
2002,701253.6893499196,2020-12-29
2003,701253.6893499196,2020-12-30
2004,701253.6893499196,2020-12-31
2005,697438.9949047245,2021-01-04
2006,698498.306534777,2021-01-05
2007,698498.306534777,2021-01-06
2008,697322.9841548069,2021-01-07
2009,698270.751509029,2021-01-08
2010,701060.1362197245,2021-01-11
2011,701060.1362197245,2021-01-11
2012,697566.4835282787,2021-01-12
2013,701276.0984054501,2021-01-13
2014,701276.0984054501,2021-01-13
2015,698162.3790121968,2021-01-14
2016,697854.7291312957,2021-01-15
2017,701563.9936842034,2021-01-19
2018,701563.9936842034,2021-01-19
2019,701563.9936842034,2021-01-20
2020,701563.9936842034,2021-01-21
2021,701563.9936842034,2021-01-22
2022,701563.9936842034,2021-01-25
2023,701563.9936842034,2021-01-26
2024,701563.9936842034,2021-01-27
2025,701563.9936842034,2021-01-28
2026,701563.9936842034,2021-01-29
2027,701563.9936842034,2021-02-01
2028,701563.9936842034,2021-02-02
2029,701563.9936842034,2021-02-03
2030,701563.9936842034,2021-02-04
2031,701563.9936842034,2021-02-05
2032,701563.9936842034,2021-02-08
2033,701563.9936842034,2021-02-09
2034,701563.9936842034,2021-02-10
2035,701563.9936842034,2021-02-11
2036,701563.9936842034,2021-02-12
2037,701563.9936842034,2021-02-16
2038,701563.9936842034,2021-02-17
2039,701563.9936842034,2021-02-18
2040,701563.9936842034,2021-02-19
2041,701563.9936842034,2021-02-22
2042,701563.9936842034,2021-02-23
2043,701563.9936842034,2021-02-24
2044,701563.9936842034,2021-02-25
2045,701563.9936842034,2021-02-26
2046,701563.9936842034,2021-03-01
2047,701563.9936842034,2021-03-02
2048,701563.9936842034,2021-03-03
2049,701563.9936842034,2021-03-04
2050,701563.9936842034,2021-03-05
2051,698668.6656389318,2021-03-08
2052,698668.6656389318,2021-03-09
2053,698668.6656389318,2021-03-10
2054,698668.6656389318,2021-03-11
2055,701219.1036627465,2021-03-12
2056,701219.1036627465,2021-03-12
2057,701219.1036627465,2021-03-15
2058,701219.1036627465,2021-03-16
2059,701219.1036627465,2021-03-17
2060,701219.1036627465,2021-03-18
2061,701219.1036627465,2021-03-19
2062,701219.1036627465,2021-03-22
2063,701219.1036627465,2021-03-23
2064,698324.5661682091,2021-03-24
2065,700948.4155362792,2021-03-25
2066,700948.4155362792,2021-03-25
2067,700948.4155362792,2021-03-26
2068,698172.4758978336,2021-03-29
2069,698056.2992401005,2021-03-30
2070,700657.2625112119,2021-03-31
2071,700657.2625112119,2021-03-31
2072,700657.2625112119,2021-04-01
2073,698004.6851666691,2021-04-05
2074,698004.6851666691,2021-04-06
2075,700554.2287496137,2021-04-07
2076,700554.2287496137,2021-04-07
2077,700554.2287496137,2021-04-08
2078,696481.8945028458,2021-04-09
2079,697762.0597601881,2021-04-12
2080,700463.5916921687,2021-04-13
2081,700463.5916921687,2021-04-13
2082,700463.5916921687,2021-04-14
2083,700463.5916921687,2021-04-15
2084,700463.5916921687,2021-04-16
2085,700463.5916921687,2021-04-19
2086,700463.5916921687,2021-04-20
2087,700463.5916921687,2021-04-21
2088,700463.5916921687,2021-04-22
2089,700463.5916921687,2021-04-23
2090,700463.5916921687,2021-04-26
2091,700463.5916921687,2021-04-27
2092,700463.5916921687,2021-04-28
2093,700463.5916921687,2021-04-29
2094,700463.5916921687,2021-04-30
2095,700463.5916921687,2021-05-03
2096,700463.5916921687,2021-05-04
2097,700463.5916921687,2021-05-05
2098,700463.5916921687,2021-05-06
2099,700463.5916921687,2021-05-07
2100,696807.6422971275,2021-05-10
2101,696807.6422971275,2021-05-11
2102,700748.3614711285,2021-05-12
2103,700748.3614711285,2021-05-12
2104,700748.3614711285,2021-05-13
2105,697876.318100267,2021-05-14
2106,697876.318100267,2021-05-17
2107,697876.318100267,2021-05-18
2108,697106.5031611555,2021-05-19
2109,700977.3924477933,2021-05-20
2110,700977.3924477933,2021-05-20
2111,700977.3924477933,2021-05-21
2112,700977.3924477933,2021-05-24
2113,700977.3924477933,2021-05-25
2114,697314.0274459018,2021-05-26
2115,717793.3174459018,2021-05-27
2116,717793.3174459018,2021-05-27
2117,717793.3174459018,2021-05-28
2118,717793.3174459018,2021-06-01
2119,717793.3174459018,2021-06-02
2120,717793.3174459018,2021-06-03
2121,717793.3174459018,2021-06-04
2122,717793.3174459018,2021-06-07
2123,717793.3174459018,2021-06-08
2124,715246.5284797325,2021-06-09
2125,717645.8986900148,2021-06-10
2126,717645.8986900148,2021-06-10
2127,717645.8986900148,2021-06-11
2128,715275.7778564894,2021-06-14
2129,715275.7778564894,2021-06-15
2130,717810.9071991941,2021-06-16
2131,717810.9071991941,2021-06-16
2132,717810.9071991941,2021-06-17
2133,717810.9071991941,2021-06-18
2134,715387.2557724025,2021-06-21
2135,715387.2557724025,2021-06-22
2136,715387.2557724025,2021-06-23
2137,715387.2557724025,2021-06-24
2138,736255.6682724025,2021-06-25
2139,736255.6682724025,2021-06-25
2140,736255.6682724025,2021-06-28
2141,736255.6682724025,2021-06-29
2142,736255.6682724025,2021-06-30
2143,736255.6682724025,2021-07-01
2144,736255.6682724025,2021-07-02
2145,736255.6682724025,2021-07-06
2146,733726.357083239,2021-07-07
2147,736348.2746804056,2021-07-08
2148,736348.2746804056,2021-07-08
2149,736348.2746804056,2021-07-09
2150,733757.7306970283,2021-07-12
2151,736418.1986735257,2021-07-13
2152,736418.1986735257,2021-07-13
2153,736418.1986735257,2021-07-14
2154,736418.1986735257,2021-07-15
2155,736418.1986735257,2021-07-16
2156,736418.1986735257,2021-07-19
2157,736418.1986735257,2021-07-20
2158,736418.1986735257,2021-07-21
2159,733851.2726777423,2021-07-22
2160,736581.7680637459,2021-07-23
2161,736581.7680637459,2021-07-23
2162,736581.7680637459,2021-07-26
2163,736581.7680637459,2021-07-27
2164,736581.7680637459,2021-07-28
2165,733865.9995198768,2021-07-29
2166,736548.7895681437,2021-07-30
2167,736548.7895681437,2021-07-30
2168,736548.7895681437,2021-08-02
2169,733788.321152442,2021-08-03
2170,736584.1271935141,2021-08-04
2171,736584.1271935141,2021-08-04
2172,736584.1271935141,2021-08-05
2173,736584.1271935141,2021-08-06
2174,736584.1271935141,2021-08-09
2175,733843.1937562228,2021-08-10
2176,733843.1937562228,2021-08-11
2177,736597.8299454323,2021-08-12
2178,736597.8299454323,2021-08-12
2179,736597.8299454323,2021-08-13
2180,736597.8299454323,2021-08-16
2181,736597.8299454323,2021-08-17
2182,736597.8299454323,2021-08-18
2183,736597.8299454323,2021-08-19
2184,736597.8299454323,2021-08-20
2185,736597.8299454323,2021-08-23
2186,736597.8299454323,2021-08-24
2187,736597.8299454323,2021-08-25
2188,736597.8299454323,2021-08-26
2189,736597.8299454323,2021-08-27
2190,736597.8299454323,2021-08-30
2191,736597.8299454323,2021-08-31
2192,736597.8299454323,2021-09-01
2193,736597.8299454323,2021-09-02
2194,736597.8299454323,2021-09-03
2195,736597.8299454323,2021-09-07
2196,736597.8299454323,2021-09-08
2197,733867.5003810371,2021-09-09
2198,736671.697204119,2021-09-10
2199,736671.697204119,2021-09-10
2200,733860.1780999866,2021-09-13
2201,736701.2528224855,2021-09-14
2202,736701.2528224855,2021-09-14
2203,736701.2528224855,2021-09-15
2204,736701.2528224855,2021-09-16
2205,736701.2528224855,2021-09-17
2206,736701.2528224855,2021-09-20
2207,736701.2528224855,2021-09-21
2208,736701.2528224855,2021-09-22
2209,736701.2528224855,2021-09-23
2210,736701.2528224855,2021-09-24
2211,736701.2528224855,2021-09-27
2212,736701.2528224855,2021-09-28
2213,736701.2528224855,2021-09-29
2214,736701.2528224855,2021-09-30
2215,736701.2528224855,2021-10-01
2216,736701.2528224855,2021-10-04
2217,736701.2528224855,2021-10-05
2218,736701.2528224855,2021-10-06
2219,736701.2528224855,2021-10-07
2220,736701.2528224855,2021-10-08
2221,736701.2528224855,2021-10-11
2222,736701.2528224855,2021-10-12
2223,736701.2528224855,2021-10-13
2224,736701.2528224855,2021-10-14
