,dates,Price
608,2016-07-11,2138.59
609,2016-07-12,2152.39
610,2016-07-13,2152.62
611,2016-07-14,2164.83
612,2016-07-15,2161.2
613,2016-07-18,2167.51
614,2016-07-19,2162.7
615,2016-07-20,2174.12
616,2016-07-21,2164.87
617,2016-07-22,2173.77
618,2016-07-25,2166.97
619,2016-07-26,2167.86
620,2016-07-27,2166.57
621,2016-07-28,2171.31
622,2016-07-29,2174.52
623,2016-08-01,2169.3
624,2016-08-02,2157.37
625,2016-08-03,2161.78
626,2016-08-04,2164.62
627,2016-08-05,2181.32
628,2016-08-08,2180.19
629,2016-08-09,2181.83
630,2016-08-10,2174.13
631,2016-08-11,2186.88
632,2016-08-12,2184.05
633,2016-08-15,2190.36
634,2016-08-16,2179.06
635,2016-08-17,2181.95
636,2016-08-18,2185.97
637,2016-08-19,2183.42
638,2016-08-22,2182.25
639,2016-08-23,2187.34
640,2016-08-24,2173.59
641,2016-08-25,2171.83
642,2016-08-26,2169.1
643,2016-08-29,2180.14
644,2016-08-30,2175.16
645,2016-08-31,2170.82
646,2016-09-01,2170.18
647,2016-09-02,2180.09
648,2016-09-06,2184.92
649,2016-09-07,2184.99
650,2016-09-08,2181.62
651,2016-09-09,2132.75
652,2016-09-12,2159.34
653,2016-09-13,2127.03
654,2016-09-14,2125.83
655,2016-09-15,2147.26
656,2016-09-16,2139.01
657,2016-09-19,2139.14
658,2016-09-20,2139.64
659,2016-09-21,2163.07
660,2016-09-22,2177.04
661,2016-09-23,2164.84
662,2016-09-26,2146.27
663,2016-09-27,2159.93
664,2016-09-28,2171.29
665,2016-09-29,2151.12
666,2016-09-30,2168.13
667,2016-10-03,2161.2
668,2016-10-04,2150.52
669,2016-10-05,2159.68
670,2016-10-06,2160.83
671,2016-10-07,2153.73
672,2016-10-10,2163.65
673,2016-10-11,2136.73
674,2016-10-12,2139.18
675,2016-10-13,2132.61
676,2016-10-14,2133.06
677,2016-10-17,2126.49
678,2016-10-18,2139.56
679,2016-10-19,2144.29
680,2016-10-20,2141.26
681,2016-10-21,2141.15
682,2016-10-24,2151.21
683,2016-10-25,2143.22
684,2016-10-26,2139.44
685,2016-10-27,2133.07
686,2016-10-28,2126.47
687,2016-10-31,2126.22
688,2016-11-01,2111.72
689,2016-11-02,2098.0
690,2016-11-03,2088.69
691,2016-11-04,2085.25
692,2016-11-07,2131.48
693,2016-11-08,2139.54
694,2016-11-09,2163.26
695,2016-11-10,2167.57
696,2016-11-11,2164.32
697,2016-11-14,2164.29
698,2016-11-15,2180.39
699,2016-11-16,2176.95
700,2016-11-17,2187.11
701,2016-11-18,2181.98
702,2016-11-21,2198.19
703,2016-11-22,2202.9
704,2016-11-23,2204.62
705,2016-11-25,2213.35
706,2016-11-28,2201.8
707,2016-11-29,2204.74
708,2016-11-30,2199.04
709,2016-12-01,2191.08
710,2016-12-02,2192.01
711,2016-12-05,2204.7
712,2016-12-06,2212.24
713,2016-12-07,2241.1
714,2016-12-08,2246.19
715,2016-12-09,2259.54
716,2016-12-12,2256.91
717,2016-12-13,2271.67
718,2016-12-14,2253.3
719,2016-12-15,2262.03
720,2016-12-16,2258.05
721,2016-12-19,2262.58
722,2016-12-20,2270.73
723,2016-12-21,2265.25
724,2016-12-22,2260.97
